parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,extra,partied
dr0_s113,tied,factor,6342.0,6337.0,6347.0,pargp,1.0,0.0,1,,dr0_s1
dr6_s113,none,factor,6469.0,6464.0,6474.0,pargp,1.0,0.0,1,,
dr6_s114,tied,factor,6469.0,6464.0,6474.0,pargp,1.0,0.0,1,,dr6_s113
dr4_s178,none,factor,6494.0,6489.0,6499.0,pargp,1.0,0.0,1,,
dr4_s179,tied,factor,6494.0,6489.0,6499.0,pargp,1.0,0.0,1,,dr4_s178
dr4_s180,tied,factor,6494.0,6489.0,6499.0,pargp,1.0,0.0,1,,dr4_s178
dr4_s177,tied,factor,6494.0,6489.0,6499.0,pargp,1.0,0.0,1,,dr4_s178
dr5_s115,none,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,
dr5_s116,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s117,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s118,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s119,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s120,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s121,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s122,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s123,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s124,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s125,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s126,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s127,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s128,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s129,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s130,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s131,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s132,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s133,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s134,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s135,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s136,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s137,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s138,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s139,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s140,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s141,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s142,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s143,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s144,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s145,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s146,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s147,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s148,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s149,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s150,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s151,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s152,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s153,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s154,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s155,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s156,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s157,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s158,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s159,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s160,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s161,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s162,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s163,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s164,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s165,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s166,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s167,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s168,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s169,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s170,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s171,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s172,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s173,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s174,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s175,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr5_s176,tied,factor,6330.0,6325.0,6335.0,pargp,1.0,0.0,1,,dr5_s115
dr0u57,tied,factor,6319.922,6314.922,6324.922,pargp,1.0,0.0,1,,dr0_s1
dr0u58,tied,factor,6334.0,6329.0,6339.0,pargp,1.0,0.0,1,,dr0_s1
dr0u59,tied,factor,6340.682,6335.682,6345.682,pargp,1.0,0.0,1,,dr0_s1
dr0u60,tied,factor,6346.605,6341.605,6351.605,pargp,1.0,0.0,1,,dr0_s1
dr0u61,tied,factor,6358.982,6353.982,6363.982,pargp,1.0,0.0,1,,dr0_s1
dr0u62,tied,factor,6363.058,6358.058,6368.058,pargp,1.0,0.0,1,,dr0_s1
dr0u63,tied,factor,6374.489,6369.489,6379.489,pargp,1.0,0.0,1,,dr0_s1
dr0u64,tied,factor,6390.591,6385.591,6395.591,pargp,1.0,0.0,1,,dr0_s1
dr0u65,tied,factor,6391.677,6386.677,6396.677,pargp,1.0,0.0,1,,dr0_s1
dr0u66,tied,factor,6385.37,6380.37,6390.37,pargp,1.0,0.0,1,,dr0_s1
dr0u67,tied,factor,6381.687,6376.687,6386.687,pargp,1.0,0.0,1,,dr0_s1
dr0u68,tied,factor,6381.997,6376.997,6386.997,pargp,1.0,0.0,1,,dr0_s1
dr0u69,tied,factor,6387.044,6382.044,6392.044,pargp,1.0,0.0,1,,dr0_s1
dr0u70,tied,factor,6390.332,6385.332,6395.332,pargp,1.0,0.0,1,,dr0_s1
dr0u71,tied,factor,6391.484,6386.484,6396.484,pargp,1.0,0.0,1,,dr0_s1
dr0u72,tied,factor,6391.808,6386.808,6396.808,pargp,1.0,0.0,1,,dr0_s1
dr0u73,tied,factor,6392.128,6387.128,6397.128,pargp,1.0,0.0,1,,dr0_s1
dr0u74,tied,factor,6392.127,6387.127,6397.127,pargp,1.0,0.0,1,,dr0_s1
dr0u75,tied,factor,6394.74,6389.74,6399.74,pargp,1.0,0.0,1,,dr0_s1
dr0u76,tied,factor,6394.364,6389.364,6399.364,pargp,1.0,0.0,1,,dr0_s1
dr0u77,tied,factor,6392.127,6387.127,6397.127,pargp,1.0,0.0,1,,dr0_s1
dr0u78,tied,factor,6373.755,6368.755,6378.755,pargp,1.0,0.0,1,,dr0_s1
dr0u79,tied,factor,6373.755,6368.755,6378.755,pargp,1.0,0.0,1,,dr0_s1
dr0u80,tied,factor,6373.755,6368.755,6378.755,pargp,1.0,0.0,1,,dr0_s1
dr0u81,tied,factor,6373.752,6368.752,6378.752,pargp,1.0,0.0,1,,dr0_s1
dr0u82,tied,factor,6373.796,6368.796,6378.796,pargp,1.0,0.0,1,,dr0_s1
dr0u83,tied,factor,6373.755,6368.755,6378.755,pargp,1.0,0.0,1,,dr0_s1
dr0u84,tied,factor,6373.755,6368.755,6378.755,pargp,1.0,0.0,1,,dr0_s1
dr0u85,tied,factor,6373.755,6368.755,6378.755,pargp,1.0,0.0,1,,dr0_s1
dr0u86,tied,factor,6373.755,6368.755,6378.755,pargp,1.0,0.0,1,,dr0_s1
dr0u87,tied,factor,6383.819,6378.819,6388.819,pargp,1.0,0.0,1,,dr0_s1
dr0u88,tied,factor,6395.759,6390.759,6400.759,pargp,1.0,0.0,1,,dr0_s1
dr0u89,tied,factor,6395.417,6390.417,6400.417,pargp,1.0,0.0,1,,dr0_s1
dr0u90,tied,factor,6395.857,6390.857,6400.857,pargp,1.0,0.0,1,,dr0_s1
dr0u91,tied,factor,6395.188,6390.188,6400.188,pargp,1.0,0.0,1,,dr0_s1
dr0u92,tied,factor,6235.85,6230.85,6240.85,pargp,1.0,0.0,1,,dr0_s1
dr0u93,tied,factor,6237.61,6232.61,6242.61,pargp,1.0,0.0,1,,dr0_s1
