obsnme,obsval,weight,obgnme,extra
ucon_usecol:kper:069_name:ef-6_k:9_j:203_k:47,675.8945,1.0,obgnme,
ucon_usecol:kper:070_name:ef-6_k:9_j:203_k:47,674.73566,1.0,obgnme,
ucon_usecol:kper:071_name:ef-6_k:9_j:203_k:47,673.6576,1.0,obgnme,
ucon_usecol:kper:072_name:ef-6_k:9_j:203_k:47,672.70935,1.0,obgnme,
ucon_usecol:kper:073_name:ef-6_k:9_j:203_k:47,671.86835,1.0,obgnme,
ucon_usecol:kper:074_name:ef-6_k:9_j:203_k:47,671.04224,1.0,obgnme,
ucon_usecol:kper:075_name:ef-6_k:9_j:203_k:47,670.1862,1.0,obgnme,
ucon_usecol:kper:076_name:ef-6_k:9_j:203_k:47,669.2824,1.0,obgnme,
ucon_usecol:kper:077_name:ef-6_k:9_j:203_k:47,668.3573,1.0,obgnme,
ucon_usecol:kper:078_name:ef-6_k:9_j:203_k:47,667.41376,1.0,obgnme,
ucon_usecol:kper:079_name:ef-6_k:9_j:203_k:47,666.4288,1.0,obgnme,
ucon_usecol:kper:080_name:ef-6_k:9_j:203_k:47,665.46387,1.0,obgnme,
ucon_usecol:kper:081_name:ef-6_k:9_j:203_k:47,664.51666,1.0,obgnme,
ucon_usecol:kper:082_name:ef-6_k:9_j:203_k:47,655.244,1.0,obgnme,
ucon_usecol:kper:083_name:ef-6_k:9_j:203_k:47,649.7012,1.0,obgnme,
ucon_usecol:kper:084_name:ef-6_k:9_j:203_k:47,644.3681,1.0,obgnme,
ucon_usecol:kper:085_name:ef-6_k:9_j:203_k:47,638.0409,1.0,obgnme,
ucon_usecol:kper:086_name:ef-6_k:9_j:203_k:47,631.6554,1.0,obgnme,
ucon_usecol:kper:087_name:ef-6_k:9_j:203_k:47,625.4956,1.0,obgnme,
ucon_usecol:kper:088_name:ef-6_k:9_j:203_k:47,620.44885,1.0,obgnme,
ucon_usecol:kper:089_name:ef-6_k:9_j:203_k:47,616.3251,1.0,obgnme,
ucon_usecol:kper:090_name:ef-6_k:9_j:203_k:47,612.2399,1.0,obgnme,
ucon_usecol:kper:091_name:ef-6_k:9_j:203_k:47,608.15295,1.0,obgnme,
ucon_usecol:kper:000_name:ef-8_k:11_j:212_k:41,2.6175e-10,1.0,obgnme,
ucon_usecol:kper:001_name:ef-8_k:11_j:212_k:41,1.0067417e-09,1.0,obgnme,
ucon_usecol:kper:002_name:ef-8_k:11_j:212_k:41,3.1411989e-09,1.0,obgnme,
ucon_usecol:kper:003_name:ef-8_k:11_j:212_k:41,1.7548368e-08,1.0,obgnme,
ucon_usecol:kper:004_name:ef-8_k:11_j:212_k:41,1.3451765e-07,1.0,obgnme,
ucon_usecol:kper:005_name:ef-8_k:11_j:212_k:41,1.1617831e-06,1.0,obgnme,
ucon_usecol:kper:006_name:ef-8_k:11_j:212_k:41,9.06818e-06,1.0,obgnme,
ucon_usecol:kper:007_name:ef-8_k:11_j:212_k:41,7.284235e-05,1.0,obgnme,
ucon_usecol:kper:008_name:ef-8_k:11_j:212_k:41,0.00051478314,1.0,obgnme,
ucon_usecol:kper:009_name:ef-8_k:11_j:212_k:41,0.0028571824,1.0,obgnme,
ucon_usecol:kper:010_name:ef-8_k:11_j:212_k:41,0.0118086105,1.0,obgnme,
ucon_usecol:kper:011_name:ef-8_k:11_j:212_k:41,0.036126718,1.0,obgnme,
ucon_usecol:kper:012_name:ef-8_k:11_j:212_k:41,0.08554935,1.0,obgnme,
ucon_usecol:kper:013_name:ef-8_k:11_j:212_k:41,0.16040513,1.0,obgnme,
ucon_usecol:kper:014_name:ef-8_k:11_j:212_k:41,0.24831319,1.0,obgnme,
ucon_usecol:kper:015_name:ef-8_k:11_j:212_k:41,0.33156723,1.0,obgnme,
ucon_usecol:kper:016_name:ef-8_k:11_j:212_k:41,0.3982907,1.0,obgnme,
ucon_usecol:kper:017_name:ef-8_k:11_j:212_k:41,0.4370213,1.0,obgnme,
ucon_usecol:kper:018_name:ef-8_k:11_j:212_k:41,0.14519006,1.0,obgnme,
ucon_usecol:kper:019_name:ef-8_k:11_j:212_k:41,0.0066399914,1.0,obgnme,
ucon_usecol:kper:020_name:ef-8_k:11_j:212_k:41,0.015126871,1.0,obgnme,
ucon_usecol:kper:021_name:ef-8_k:11_j:212_k:41,0.121744804,1.0,obgnme,
ucon_usecol:kper:022_name:ef-8_k:11_j:212_k:41,0.14093824,1.0,obgnme,
ucon_usecol:kper:023_name:ef-8_k:11_j:212_k:41,0.16353229,1.0,obgnme,
ucon_usecol:kper:024_name:ef-8_k:11_j:212_k:41,0.190303,1.0,obgnme,
ucon_usecol:kper:025_name:ef-8_k:11_j:212_k:41,0.22280367,1.0,obgnme,
ucon_usecol:kper:026_name:ef-8_k:11_j:212_k:41,0.26269212,1.0,obgnme,
ucon_usecol:kper:027_name:ef-8_k:11_j:212_k:41,0.31165117,1.0,obgnme,
ucon_usecol:kper:028_name:ef-8_k:11_j:212_k:41,0.37070522,1.0,obgnme,
ucon_usecol:kper:029_name:ef-8_k:11_j:212_k:41,0.4416477,1.0,obgnme,
ucon_usecol:kper:030_name:ef-8_k:11_j:212_k:41,0.5251517,1.0,obgnme,
ucon_usecol:kper:031_name:ef-8_k:11_j:212_k:41,0.6197818,1.0,obgnme,
ucon_usecol:kper:032_name:ef-8_k:11_j:212_k:41,0.72652066,1.0,obgnme,
ucon_usecol:kper:033_name:ef-8_k:11_j:212_k:41,0.84390706,1.0,obgnme,
ucon_usecol:kper:034_name:ef-8_k:11_j:212_k:41,0.9705375,1.0,obgnme,
ucon_usecol:kper:035_name:ef-8_k:11_j:212_k:41,1.104053,1.0,obgnme,
ucon_usecol:kper:036_name:ef-8_k:11_j:212_k:41,1.2418839,1.0,obgnme,
ucon_usecol:kper:037_name:ef-8_k:11_j:212_k:41,1.3816224,1.0,obgnme,
ucon_usecol:kper:038_name:ef-8_k:11_j:212_k:41,1.5209388,1.0,obgnme,
ucon_usecol:kper:039_name:ef-8_k:11_j:212_k:41,1.6575489,1.0,obgnme,
ucon_usecol:kper:040_name:ef-8_k:11_j:212_k:41,1.7899877,1.0,obgnme,
ucon_usecol:kper:041_name:ef-8_k:11_j:212_k:41,1.9171655,1.0,obgnme,
ucon_usecol:kper:042_name:ef-8_k:11_j:212_k:41,2.0383189,1.0,obgnme,
ucon_usecol:kper:043_name:ef-8_k:11_j:212_k:41,2.1540544,1.0,obgnme,
ucon_usecol:kper:044_name:ef-8_k:11_j:212_k:41,2.2639537,1.0,obgnme,
ucon_usecol:kper:045_name:ef-8_k:11_j:212_k:41,2.368962,1.0,obgnme,
ucon_usecol:kper:046_name:ef-8_k:11_j:212_k:41,2.4698577,1.0,obgnme,
ucon_usecol:kper:047_name:ef-8_k:11_j:212_k:41,2.5678325,1.0,obgnme,
ucon_usecol:kper:048_name:ef-8_k:11_j:212_k:41,2.6637788,1.0,obgnme,
ucon_usecol:kper:049_name:ef-8_k:11_j:212_k:41,2.7586405,1.0,obgnme,
ucon_usecol:kper:050_name:ef-8_k:11_j:212_k:41,2.853967,1.0,obgnme,
ucon_usecol:kper:051_name:ef-8_k:11_j:212_k:41,2.9513204,1.0,obgnme,
ucon_usecol:kper:052_name:ef-8_k:11_j:212_k:41,3.0515387,1.0,obgnme,
ucon_usecol:kper:053_name:ef-8_k:11_j:212_k:41,3.1542082,1.0,obgnme,
ucon_usecol:kper:054_name:ef-8_k:11_j:212_k:41,3.258658,1.0,obgnme,
ucon_usecol:kper:055_name:ef-8_k:11_j:212_k:41,3.3648152,1.0,obgnme,
ucon_usecol:kper:056_name:ef-8_k:11_j:212_k:41,3.4725988,1.0,obgnme,
ucon_usecol:kper:057_name:ef-8_k:11_j:212_k:41,3.5816572,1.0,obgnme,
ucon_usecol:kper:058_name:ef-8_k:11_j:212_k:41,3.692231,1.0,obgnme,
ucon_usecol:kper:059_name:ef-8_k:11_j:212_k:41,3.80386,1.0,obgnme,
ucon_usecol:kper:060_name:ef-8_k:11_j:212_k:41,3.9163253,1.0,obgnme,
